DATA,LOJA,PREÇO
02/01/2017,CASA DO ELETRICISTA LTDA,31
03/01/2017,CASA DO ELETRICISTA LTDA,"112,5"
07/01/2017,CASA DO ELETRICISTA LTDA,31
19/01/2017,CASA DO ELETRICISTA LTDA,186
19/01/2017,SUPERMERCADOS DB LTDA,410
19/01/2017,SUPERMERCADOS DB LTDA,"15,98"
20/01/2017,SUPERMERCADOS DB LTDA,"10,51"
23/01/2017,PMZ DISTRIBUIDORA S.A,3
27/01/2017,SUPER EXPRESSO TARUMA COMERCIO DE PROD ALIMENTICIOS LTDA ME,"23,5"
28/01/2017,L J GUERRA & CIA LTDA,"285,87"
31/01/2017,L J GUERRA & CIA LTDA,21
02/02/2017,SUPERMERCADOS DB LTDA,"43,14"
04/02/2017,SUPERMERCADOS DB LTDA,"12,52"
10/02/2017,SUPERMERCADOS DB LTDA,"44,47"
13/02/2017,L J GUERRA & CIA LTDA,"14,5"
16/02/2017,SUPERMERCADOS DB LTDA,"190,48"
17/02/2017,L J GUERRA & CIA LTDA,53
17/02/2017,SUPER EXPRESSO TARUMA COMERCIO DE PROD ALIMENTICIOS LTDA ME,"4,2"
18/02/2017,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"84,27"
21/02/2017,SUPERMERCADOS DB LTDA,"79,3"
05/03/2017,SUPERMERCADOS DB LTDA,"61,39"
06/03/2017,BEMOL S/A,64
01/04/2017,BEMOL S/A,159
29/04/2017,BEMOL S/A,132
02/05/2017,BEMOL S/A,39
05/05/2017,SUPERMERCADOS DB LTDA,"77,15"
06/05/2017,J M PORTELA LTDA,"31,49"
07/05/2017,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,"90,05"
07/05/2017,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,"18,35"
09/05/2017,SUPERMERCADOS DB LTDA,"161,83"
14/05/2017,SUPERMERCADOS DB LTDA,"29,77"
16/05/2017,SUPERMERCADOS DB LTDA,"117,07"
18/05/2017,ATACADAO S.A.,"53,92"
19/05/2017,SUPERMERCADOS DB LTDA,"42,55"
22/05/2017,SUPERMERCADOS DB LTDA,"36,39"
23/05/2017,CARREFOUR COMERCIO E INDUSTRIA LTDA,459
27/05/2017,SUPERMERCADOS DB LTDA,"173,47"
29/05/2017,SUPERMERCADOS DB LTDA,"32,79"
05/06/2017,BEMOL S/A,51
08/06/2017,SUPERMERCADOS DB LTDA,"129,43"
12/06/2017,SUPERMERCADOS DB LTDA,"54,67"
14/06/2017,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"73,62"
15/06/2017,SUPERMERCADOS DB LTDA,"97,98"
15/06/2017,SUPERMERCADOS DB LTDA,"26,44"
19/06/2017,CARREFOUR COMERCIO E INDUSTRIA LTDA,"60,45"
21/06/2017,SUPERMERCADOS DB LTDA,"97,94"
24/06/2017,SUPERMERCADOS DB LTDA,"54,79"
12/07/2017,SUPERMERCADOS DB LTDA,"31,34"
17/07/2017,SB COMERCIO LTDA,"42,58"
20/07/2017,SUPERMERCADOS DB LTDA,"50,24"
25/07/2017,SERRA COMERCIO DE ALIMENTOS LTDA - ME,11
26/07/2017,SUPERMERCADOS DB LTDA,"63,1"
28/07/2017,CARREFOUR COMERCIO E INDUSTRIA LTDA,"22,76"
02/08/2017,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"19,51"
03/08/2017,L J GUERRA & CIA LTDA,20
03/08/2017,SUPERMERCADOS DB LTDA,"59,79"
07/08/2017,L J GUERRA & CIA LTDA,"29,33"
10/08/2017,B A ELETRICA LTDA,"28,65"
24/08/2017,SUPERMERCADOS DB LTDA,"40,14"
04/09/2017,SUPERMERCADOS DB LTDA,"6,59"
20/09/2017,SB COMERCIO LTDA,"10,99"
21/09/2017,SUPERMERCADOS DB LTDA,"128,45"
25/09/2017,SUPERMERCADOS DB LTDA,"196,44"
04/10/2017,BEMOL S/A,49
12/10/2017,BEMOL S/A,66
14/10/2017,SUPERMERCADOS DB LTDA,"13,21"
04/11/2017,SUPERMERCADOS DB LTDA,"184,41"
23/11/2017,SUPERMERCADOS DB LTDA,"20,54"
29/11/2017,BEMOL S/A,39
04/12/2017,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"1,84"
13/12/2017,MANAUS COMERCIO DE DERIVADOS DE PETROLEO LTDA,"8,5"
19/12/2017,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"22,26"
20/12/2017,SUPERMERCADOS DB LTDA,"27,71"
22/12/2017,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"21,4"
29/12/2017,ELTON DE FRANCA,22
30/12/2017,SUPERMERCADOS DB LTDA,"32,71"
06/01/2018,SUPERMERCADOS DB LTDA,"53,74"
10/01/2018,L J GUERRA & CIA LTDA,"161,61"
10/01/2018,BEMOL S/A,829
12/01/2018,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"94,98"
15/01/2018,CONTERPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,30
20/01/2018,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,20
22/01/2018,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,30
23/01/2018,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,20
24/01/2018,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,30
24/01/2018,RONDOBRAS DO AMAZONAS DISTRIBUIDORA DE AUTO PECAS LTDA,44
24/01/2018,PMZ DISTRIBUIDORA S.A,"7,5"
25/01/2018,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,15
27/01/2018,AUTO PECAS MANOA LTDA,"22,5"
29/01/2018,PMZ DISTRIBUIDORA S.A,"56,1"
29/01/2018,T3 COMERCIO E SERVICOS AUTO PECAS LTDA,90
30/01/2018,J B N MARQUES,"5,5"
30/01/2018,AUTO PECAS MANOA LTDA,118
30/01/2018,AUTO PECAS MANOA LTDA,12
30/01/2018,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,30
01/02/2018,DENYS ANTONIO ABDALA TUMA,30
05/02/2018,EXPRESS COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA,50
07/02/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,30
08/02/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,30
09/02/2018,ATACADAO S.A.,"30,99"
09/02/2018,SB COMERCIO LTDA,"31,05"
10/02/2018,SB COMERCIO LTDA,"18,17"
12/02/2018,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"71,1"
12/02/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"3,49"
14/02/2018,BEMOL S/A,"21,2"
21/02/2018,SB COMERCIO LTDA,"32,34"
